,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.6332533588391435,0.633600465950733,0.05081328155619697,0.5068803727605865,0.3096572293246175,1.2550683969396699,8.907407407407407,1.9996173274703324,0.20805583940501848,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.2222222222222222,0.07053895369615663,-0.017116422561102785,0.9761794323402285,0.3378120526145518,0.0,0.16666666666666666,0.008234100675829166
1,0,0.0,108,1,101,6,0,0.009259259259259259,0.6299415418380931,0.6305297159276405,0.05259426076316157,0.5068317672506059,0.3076533123171598,1.2478515479174006,8.907407407407407,1.9996173274703324,0.21300375233311253,0.012718569524003475,0.0006809894843534625,0.0,0.012718569524003475,-0.001651025414135393,0,1,0,6,0,1.0,0.21296296296296297,0.07290355291086649,0.0002591724713074771,0.975205869620774,0.34215600716868516,0.009259259259259259,0.16666666666666669,0.008217055628724077
2,0,0.0,108,0,102,6,0,0.0,0.6339819241797044,0.6345207545934334,0.055564556372489644,0.5068474609757353,0.304764742453107,1.191249317340037,8.907407407407407,1.9996173274703324,0.21793741404117872,0.014554871974268064,0.0008843765777992576,0.0,0.014554871974268064,-0.006393060122140405,0,0,0,6,0,1.0,0.23148148148148148,0.0754846570105309,0.010453532534893463,0.9738153605585743,0.3480171399549864,0.0,0.12962962962962965,0.00823741444765564
3,0,0.0,108,0,103,5,0,0.0,0.6276614890047001,0.6281919759011111,0.054937120075926216,0.5067615998021384,0.3125408894796304,1.2502188055478294,8.907407407407407,1.9996173274703324,0.2185557399349769,0.00886030378562375,0.0008382219059676229,0.0,0.00886030378562375,-0.004610825679728115,0,0,0,5,0,1.0,0.21296296296296297,0.07588311276891313,0.01962478161929418,0.9847309056358087,0.34854770822660647,0.0,0.12962962962962965,0.00820495382432821
4,0,0.0,108,0,102,6,0,0.0,0.6287101825629217,0.6292734571412258,0.05619885412960092,0.5066947559124632,0.3087861337635045,1.2340215375167307,8.907407407407407,1.9996173274703324,0.22103969753132957,0.008334002467985562,0.0009200409547851673,0.0,0.008334002467985562,-0.007067793927485383,0,0,0,6,0,1.0,0.21296296296296297,0.07744090247024485,0.013397935543551995,0.9755494715927528,0.35245203388926416,0.0,0.12962962962962965,0.00820952898111917
5,107,99.07407407407408,108,0,102,6,0,0.0,0.6263433472387,0.6271889627122524,0.055594761097268366,0.5065959031153545,0.3107699955435646,1.2404191308109165,8.907407407407407,1.9996173274703324,0.2208041776330183,0.007746860390960801,0.0007991720999818587,0.0,0.007746860390960801,-0.006720083512554487,0,0,0,6,0,1.0,0.24074074074074073,0.07732491091592893,0.010194433552574295,0.9765203631049297,0.3505685491815936,0.0,0.16666666666666666,0.008196706465668224
6,108,100.0,108,0,101,7,0,0.0,0.625216420006338,0.6260570127036393,0.05675876941272291,0.5064809192610973,0.30476148548166837,1.2180876429201593,8.907407407407407,1.9996173274703324,0.22300680227545167,0.01256776943011327,0.0007264485514415766,0.0,0.01256776943011327,-0.006764959660428366,0,0,0,7,0,1.0,0.24074074074074073,0.07900728109659302,0.005531906414239302,0.9721733602131186,0.3544513416105544,0.0,0.12962962962962962,0.008189922210969654
7,108,100.0,108,0,100,8,0,0.0,0.6229634820393634,0.6238522043591329,0.05755046481106775,0.506332964460158,0.30200233155630457,1.199700086713746,8.907407407407407,1.9996173274703324,0.22515582917676946,0.012575612456559863,0.0008215725850112182,0.0,0.012575612456559863,-0.008271280015979161,0,0,0,8,0,0.875,0.24074074074074073,0.08066491855821781,0.0011248705188936566,0.9811390476335314,0.35848637319109894,0.0,0.16666666666666666,0.008177178256216576
8,108,100.0,108,0,101,7,0,0.0,0.6267513874295125,0.6275438276268033,0.05923617679896871,0.5062470228598754,0.3013090799498283,1.2014989049104656,8.907407407407407,1.9996173274703324,0.22636065625049584,0.013839795078209672,0.0007972013181961978,0.0,0.013839795078209672,-0.004159482968595014,0,0,0,7,0,0.8571428571428571,0.21296296296296297,0.08177865009085393,-0.007300670098514353,0.9665817741789403,0.3598914769239451,0.0,0.14814814814814814,0.008195258531601945
9,108,100.0,108,0,101,7,0,0.0,0.6267500174642225,0.6274164447760514,0.058949703682583156,0.5061607620270788,0.3015287283789474,1.194267324468515,8.907407407407407,1.9996173274703324,0.2255176810275128,0.012401710641254799,0.0008207327628954039,0.0,0.012401710641254799,-0.004755244309302987,0,0,0,7,0,0.8571428571428571,0.2037037037037037,0.08074725064506177,-0.01967563580121612,0.9778271413572968,0.3611459848426995,0.0,0.11111111111111113,0.008194389238495784
