,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.592437622185684,0.5923491524118515,0.03948950129787797,0.4738793219294812,0.3041523370514443,1.0441595564042212,5.018518518518518,5.017974475491792,0.19596018657176728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.18518518518518517,0.060308734650266524,-0.0007200157335784813,0.9705237958373428,0.31741527266398745,0.0,0.09259259259259259,0.014851759820455893
1,0,0.0,108,0,102,6,0,0.0,0.5949066591039532,0.5949046657967596,0.04230375203968769,0.47398190993697925,0.2997937117924874,1.024512119123952,5.018518518518518,5.017974475491792,0.20143551154696038,0.27905277075048146,0.023989869164241246,0.0,0.27905277075048146,-0.007050819410515201,0,0,0,6,0,0.0,0.18518518518518517,0.06347860424174331,0.00211172825874606,0.9783179831197971,0.3272914748142031,0.0,0.0925925925925926,0.014866678925062824
2,0,0.0,108,1,103,4,0,0.009259259259259259,0.594508958715589,0.5943211470196126,0.042674056420995414,0.4740541768389778,0.2988317585108138,1.0011931816450927,5.018518518518518,5.017974475491792,0.20246115895170247,0.20650245702271838,0.021554803106451775,0.0,0.20650245702271838,-0.00945812537742241,0,1,0,4,0,0.0,0.18518518518518517,0.06397384779691379,0.0030649213959500128,0.9735295029375189,0.3280528025434281,0.009259259259259259,0.14814814814814817,0.014866503590469262
3,0,0.0,108,0,101,7,0,0.0,0.603076943904978,0.6029596902007468,0.04504752419728629,0.4744713499266176,0.2907294357445631,0.9374481192949603,5.018518518518518,5.017974475491792,0.20509353566746125,0.1920238580870843,0.020864676668200886,0.0,0.1920238580870843,-0.009267348982364112,0,0,0,7,0,0.0,0.18518518518518517,0.0655425483410714,0.011582279015225518,0.9783832209168315,0.3325396278280452,0.0,0.09259259259259259,0.0149198103359444
4,0,0.0,108,0,102,6,0,0.0,0.6046703017571181,0.6046305432800287,0.046798246355915445,0.4749346637600338,0.2896758647192066,0.9680296768888226,5.018518518518518,5.017974475491792,0.2080797066887754,0.25632958182181703,0.02206917164813582,0.0,0.25632958182181703,-0.007416921841712137,0,0,0,6,0,0.0,0.17592592592592593,0.06779094849231304,0.008920181274746787,0.9743023577330583,0.3377873432043252,0.0,0.12962962962962965,0.014939401610156222
5,107,99.07407407407408,108,0,103,5,0,0.0,0.6028789532100222,0.6027831545220514,0.04627166064890643,0.4753005674264772,0.2920806923137047,0.981434635705477,5.018518518518518,5.017974475491792,0.20737563893777033,0.20204227345201478,0.02050812321928426,0.0,0.20204227345201478,-0.008988274617781022,0,0,0,5,0,0.0,0.19444444444444445,0.06699687496138865,0.004417298750916182,0.9709052570671319,0.33735992277742,0.0,0.09259259259259259,0.014939625343714251
6,106,98.14814814814815,108,1,103,4,0,0.009259259259259259,0.6026972323906655,0.602476654322001,0.04905093327765297,0.475634494422587,0.29255536715451413,1.051044565215504,5.018518518518518,5.017974475491792,0.21160969918740125,0.2513482640475937,0.02266071507727798,0.0,0.2513482640475937,-0.004730475924110555,0,1,0,4,0,0.0,0.18518518518518517,0.07004354471355925,0.015425412946271056,0.9820342710619241,0.3435455516834931,0.009259259259259259,0.11111111111111109,0.014947094925333252
7,106,98.14814814814815,108,1,103,2,2,0.009259259259259259,0.6011254571957863,0.6010746843383589,0.04837996500488716,0.4758932808187842,0.29552290621411115,1.0513620251929494,5.018518518518518,5.017974475491792,0.2112470766280492,0.325665060827826,0.02452005585225177,0.0,0.325665060827826,-0.0015294640821585715,0,3,0,2,0,0.0,0.19444444444444445,0.06996638112901972,0.02077488203718788,0.9781848518711461,0.3392856214660427,0.009259259259259259,0.0925925925925926,0.014945728967012467
8,104,96.29629629629629,108,2,104,2,0,0.018518518518518517,0.5988576612910884,0.599003588945178,0.04902628190034126,0.4760524149158035,0.29737681390876813,1.0655274067660379,5.018518518518518,5.017974475491792,0.21304895916650413,0.22675823396282202,0.022897413443760395,0.0,0.22675823396282202,-0.009203177130268317,0,2,0,2,0,0.0,0.19444444444444445,0.07106307856509303,0.021053671714349402,0.9642674420281788,0.33885411397433707,0.018518518518518517,0.14814814814814814,0.014938382641674094
9,104,96.29629629629629,108,1,105,2,0,0.009259259259259259,0.5960899991157189,0.5960139054157222,0.04830680262888004,0.4761002220193497,0.2990386872727119,1.0793406407163977,5.018518518518518,5.017974475491792,0.21283103241840595,0.22147208478474686,0.02273822185546605,0.0,0.22147208478474686,-0.005912957690740961,0,1,0,2,0,0.0,0.2037037037037037,0.07128095399245352,0.04440617437128786,0.9652128393352227,0.33670001170325425,0.009259259259259259,0.12962962962962965,0.014925743804923956
