,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.5524678235760774,0.5509626232552549,0.044658265695039306,0.4407700986042039,0.27992542817708094,1.1793619769965937,4.8090909090909095,5.017974475491792,0.22519486622832763,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.20909090909090908,0.07886537663762307,0.07279748702363055,0.9544454032750116,0.35806276790485225,0.0,0.19999999999999998,0.013821204639659865
1,0,0.0,110,1,106,3,0,0.00909090909090909,0.5526523161173104,0.5507406651204716,0.04259232934636945,0.4407750180582857,0.2838877610649301,1.2275898494966748,4.8090909090909095,5.017974475491792,0.2210407234048395,0.35369390133883194,0.00012081505961137075,0.0,0.35369390133883194,-0.003729646155301379,0,1,0,3,0,0.0,0.19090909090909092,0.0757927919881456,0.06493713283281943,0.9510517480867554,0.3502429112642925,0.00909090909090909,0.2545454545454545,0.01382225053084111
2,0,0.0,110,1,106,3,0,0.00909090909090909,0.5494393936456327,0.5476368051699985,0.04220452315891004,0.440641171325167,0.28741646251072717,1.2466134045180266,4.8090909090909095,5.017974475491792,0.22077693690695543,0.3516743379087539,0.00010561386560882139,0.0,0.3516743379087539,-0.004486813541291962,0,1,0,3,0,0.0,0.2,0.07553357651011826,0.06541292442687979,0.9579796915797721,0.3490790117466844,0.00909090909090909,0.16363636363636364,0.013802827721030633
3,0,0.0,110,0,108,2,0,0.0,0.5555752569082804,0.5537326212215273,0.04486997960673775,0.4407588390958564,0.28515325435947375,1.2532404471072427,4.8090909090909095,5.017974475491792,0.2238427898196167,0.3219956470371892,0.00012949866094137295,0.0,0.3219956470371892,-0.004944361854288731,0,0,0,2,0,0.0,0.19090909090909092,0.07770472663796181,0.05177919621742319,0.9677170987125011,0.3559870507659319,0.0,0.16363636363636364,0.013836459306693409
4,0,0.0,110,1,108,1,0,0.00909090909090909,0.5515151980110997,0.5493097716962694,0.043300575414594825,0.44070808154321034,0.29102145912901917,1.2644688106641178,4.8090909090909095,5.017974475491792,0.22302629072856983,0.3223494011166756,0.00014751122387243948,0.0,0.3223494011166756,-0.004773829240406757,0,1,0,1,0,0.0,0.20909090909090908,0.0772634400379793,0.05997797756534308,0.9633031574538075,0.3516237535391901,0.00909090909090909,0.14545454545454545,0.013814885511689422
5,108,98.18181818181819,110,0,109,1,0,0.0,0.5515525032275993,0.5493568588873013,0.04534262124245643,0.4406467320666051,0.29053761274223133,1.2600313932649887,4.8090909090909095,5.017974475491792,0.22666923019614815,0.10891807383125278,5.964197824221773e-05,0.0,0.10891807383125278,-0.0033224271855608334,0,0,0,1,0,0.0,0.20909090909090908,0.07996596060702284,0.05218762079541175,0.9630841097277341,0.3587818024926812,0.0,0.10909090909090909,0.013813532787233473
6,108,98.18181818181819,110,0,109,1,0,0.0,0.5512659871753842,0.5490537282072591,0.04430947871962946,0.4405762922749552,0.28923896150069517,1.252414314751854,4.8090909090909095,5.017974475491792,0.22468746422471808,0.11080252264908974,6.130260733199847e-05,0.0,0.11080252264908974,-0.0032119689087795056,0,0,0,1,0,0.0,0.19090909090909092,0.07883933713349547,0.058857578144843735,0.975389221540734,0.3551620193547065,0.0,0.10909090909090909,0.013810332881589607
7,109,99.0909090909091,110,0,108,2,0,0.0,0.5455144859417653,0.5433513690382721,0.04311240093815107,0.4402804727919904,0.2931949966231144,1.253192421420763,4.8090909090909095,5.017974475491792,0.22275505989345623,0.2569791267437135,0.00010467335315267933,0.0,0.2569791267437135,-0.008898639626622462,0,0,0,2,0,0.0,0.18181818181818182,0.07761786835216457,0.05268234199534167,0.9751470933801701,0.35173016507655325,0.0,0.14545454545454545,0.013774153302347159
8,108,98.18181818181819,110,1,107,2,0,0.00909090909090909,0.5447333597483196,0.5425074258035381,0.04558705047889076,0.4399663681597115,0.2886899078173225,1.243954350228787,4.8090909090909095,5.017974475491792,0.22700794415269598,0.23056542031061436,9.245206994499233e-05,0.0,0.23056542031061436,-0.008955304059405284,0,1,0,2,0,0.0,0.19090909090909092,0.08075194842792233,0.03502765045163184,0.9552180265538996,0.3592875033245075,0.00909090909090909,0.16363636363636364,0.013762366826242885
9,109,99.0909090909091,110,0,109,1,0,0.0,0.5431398248245999,0.5407869413647204,0.04634328321035787,0.43959820865228844,0.28567078397558876,1.242468623073263,4.8090909090909095,5.017974475491792,0.22910650314602443,0.12536785021554886,6.004537483922029e-05,0.0,0.12536785021554886,-0.005237086387679446,0,0,0,1,0,0.0,0.2,0.08224391236763541,0.053148144930602284,0.9488125319613193,0.35980794474839084,0.0,0.19999999999999998,0.013745162076568493
