,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.5817027912592542,0.5816479617910394,0.051109775943702966,0.4653183694328315,0.2625303029486189,0.9178374726721346,4.113207547169812,4.288476815447211,0.22784338939588666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.24528301886792453,0.08160522816288597,-0.005058599493255224,0.965818029778674,0.3741040923454698,0.0,0.16981132075471694,0.012886049151868263
1,0,0.0,106,0,94,12,0,0.0,0.5861377601597826,0.5861835696124911,0.05368573741648859,0.46547397622472153,0.258318717968921,0.9334002181788876,4.113207547169812,4.288476815447211,0.2317220204837933,0.061041899405285684,0.0006510497848660981,0.0,0.061041899405285684,-0.0057761902181397385,0,0,0,12,0,0.6666666666666666,0.2358490566037736,0.08429827676566781,-0.0033600122942262257,0.9709533082051962,0.3802829724540771,0.0,0.16981132075471694,0.012911560576967636
2,0,0.0,106,0,96,10,0,0.0,0.5822707529821615,0.5822789017250243,0.05219449562208369,0.4654889492337587,0.2614453872179708,0.9428581446166594,4.113207547169812,4.288476815447211,0.22964320117300163,0.04765828404108224,0.0007303670366914851,0.0,0.04765828404108224,-0.0081042282464662,0,0,0,10,0,0.7,0.24528301886792453,0.08223933549136656,-0.007878518295914532,0.9626995309454276,0.37651038843736107,0.0,0.169811320754717,0.012892546598090098
3,0,0.0,106,0,98,8,0,0.0,0.584916356723979,0.5848250294567832,0.052731144982386666,0.46559063220674934,0.26235382808254193,0.9246048283090094,4.113207547169812,4.288476815447211,0.22947923751648647,0.07026815828618921,0.0007023965089662914,0.0,0.07026815828618921,-0.008710380724592362,0,0,0,8,0,0.75,0.2358490566037736,0.08206559876835832,-0.013730262993216773,0.9569726264758125,0.3762860283415766,0.0,0.20754716981132076,0.012907954942160167
4,0,0.0,106,0,99,7,0,0.0,0.5831971470239101,0.5831159171420001,0.053201624868354225,0.4656293186207225,0.25921041056348326,0.9071212519516034,4.113207547169812,4.288476815447211,0.23032186900605822,0.038389753149096574,0.0005077304710928812,0.0,0.038389753149096574,-0.007570906481029609,0,0,0,7,0,0.8571428571428571,0.22641509433962265,0.08248437825299432,-0.022603137493055304,0.973419571437206,0.37847339635714167,0.0,0.16981132075471694,0.012900188422606804
5,106,100.0,106,0,100,6,0,0.0,0.5831438129116165,0.5829640120519917,0.054867460533228885,0.46566113444514834,0.25717658235988355,0.9165881482998607,4.113207547169812,4.288476815447211,0.23285178614121804,0.001291482281004722,0.0004133849580285741,0.0,0.001291482281004722,-0.003588624106668608,0,0,0,6,0,1.0,0.2358490566037736,0.08440800810778225,-0.023974630806704082,0.9669509260794892,0.38260928351067136,0.0,0.18867924528301888,0.012900603959172408
6,106,100.0,106,0,98,8,0,0.0,0.585934667519824,0.585605706018325,0.05715297498607188,0.46578221660194513,0.25457365602322723,0.9125059074002152,4.113207547169812,4.288476815447211,0.23545153593927548,0.009996933543282184,0.0006472719875779314,0.0,0.009996933543282184,-0.005248194349827026,0,0,0,8,0,0.875,0.2358490566037736,0.08668616925691662,-0.03021797492020242,0.954911401643735,0.38787919680635086,0.0,0.18867924528301888,0.012917154522324385
7,106,100.0,106,0,98,8,0,0.0,0.5856539562396129,0.5854410341508705,0.05841999701103793,0.46589245664663415,0.25325888336368746,0.9204994074608136,4.113207547169812,4.288476815447211,0.23753033530383938,0.009756383095119236,0.0005390013553041585,0.0,0.009756383095119236,-0.0028382736490525813,0,0,0,8,0,0.875,0.24528301886792453,0.08830772704849399,-0.03748469965950329,0.9649647797553687,0.3904293851135058,0.0,0.18867924528301888,0.012918114775302242
8,105,99.05660377358491,106,1,97,8,0,0.009433962264150943,0.590513427162123,0.5896007786827568,0.061602948385779004,0.46616628421171513,0.2556952503272055,0.9207925545032445,4.113207547169812,4.288476815447211,0.24317628670248248,0.041826640558557615,0.0005995963814964122,0.0,0.041826640558557615,-0.004209656806355772,0,1,0,8,0,0.7777777777777778,0.24528301886792453,0.09213094455108449,0.0068097425972481725,0.9652709535706661,0.3943697440258969,0.009433962264150943,0.169811320754717,0.012948283645736195
9,105,99.05660377358491,106,0,102,4,0,0.0,0.5916268317083122,0.5906537542183299,0.06285298661630909,0.46643889063924127,0.25964740214682047,0.9125651597731924,4.113207547169812,4.288476815447211,0.24431049408418315,0.009390674830701417,0.00038103267570614794,0.0,0.009390674830701417,-0.007166397800465019,0,0,0,4,0,1.0,0.2358490566037736,0.09309828542813575,0.008989983016366701,0.9560315642740883,0.3960169663986413,0.0,0.20754716981132076,0.012959696000188078
10,105,99.05660377358491,106,0,103,3,0,0.0,0.5940246378057438,0.5929705147387023,0.06687051050355802,0.46677928939355406,0.25479218267639797,0.8978193245441,4.113207547169812,4.288476815447211,0.24957421117030965,0.0042505089583482905,0.0004492714814707914,0.0,0.0042505089583482905,-0.007915125878784263,0,0,0,3,0,1.0,0.24528301886792453,0.09703011383735537,0.0005768074832317012,0.9529596646448372,0.4061265305366354,0.0,0.169811320754717,0.012978983991504624
11,105,99.05660377358491,106,0,102,4,0,0.0,0.59564239649519,0.5946467489112132,0.06784475239741178,0.46716259815729666,0.2527023118434145,0.8940643769345412,4.113207547169812,4.288476815447211,0.25055290526172347,0.0030849402944511336,0.0004690491049019039,0.0,0.0030849402944511336,-0.007368467803720989,0,0,0,4,0,1.0,0.2358490566037736,0.09760260164013283,-0.012252863228448934,0.9585128528091119,0.41008243497895985,0.0,0.20754716981132076,0.012995291838684194
12,105,99.05660377358491,106,0,100,6,0,0.0,0.5982706159722335,0.5974775307418239,0.07183472799893802,0.4676265867515758,0.2428462112509505,0.8772691673525126,4.113207547169812,4.288476815447211,0.25500744091189786,0.0029264697530885313,0.0003088951611678222,0.0,0.0029264697530885313,-0.0010111215154921759,0,0,0,6,0,1.0,0.2358490566037736,0.10140106145214023,-0.008175984721056136,0.9454557905570198,0.41739969797459503,0.0,0.2452830188679245,0.013018381957715403
13,105,99.05660377358491,106,1,100,5,0,0.009433962264150943,0.5981973608004466,0.5966770996160472,0.06609312197855251,0.4680723480932657,0.2504171977325414,0.8920713881016541,4.113207547169812,4.288476815447211,0.24625324025168394,0.01344112869577554,0.00038122058307778146,0.0,0.01344112869577554,-0.0006372817684217833,0,1,0,5,0,0.8333333333333334,0.2358490566037736,0.09471946876831054,0.003273965829795606,0.9367753763481206,0.3993906653797006,0.009433962264150943,0.22641509433962265,0.013027573867751767
14,105,99.05660377358491,106,0,101,5,0,0.0,0.6017059640289144,0.6000390566834798,0.06492986703141292,0.468585202629366,0.2539405231864531,0.899005969897835,4.113207547169812,4.288476815447211,0.2441215460499233,0.001983821028852615,0.0006115569222176081,0.0,0.001983821028852615,-0.008902608892978493,0,0,0,5,0,1.0,0.2358490566037736,0.09271438508931101,0.002656014404991658,0.9578874350678437,0.3956432840877727,0.0,0.18867924528301885,0.013056113707832922
15,105,99.05660377358491,106,0,102,4,0,0.0,0.6063472899938368,0.6047876375103411,0.06682431878071625,0.4692389769478468,0.25576138465884046,0.8999346936179952,4.113207547169812,4.288476815447211,0.24395208027149318,0.004356074658744978,0.000734738533706991,0.0,0.004356074658744978,-0.00801377054983396,0,0,0,4,0,1.0,0.22641509433962265,0.09315448309021941,-0.0008540588315474407,0.9695001291358437,0.3967452760005279,0.0,0.18867924528301888,0.01309333881769423
16,105,99.05660377358491,106,0,101,5,0,0.0,0.6009007027804169,0.5992778266903896,0.06520192195026775,0.46967568473858334,0.2615850025498349,0.9029751560113115,4.113207547169812,4.288476815447211,0.24240005191849878,0.0029559622246129744,0.0006414698689111393,0.0,0.0029559622246129744,-0.007852630166536612,0,0,0,5,0,1.0,0.22641509433962265,0.09209592461425833,0.00918382863854527,0.9681841057223532,0.3939655714187597,0.0,0.18867924528301883,0.013075469937805626
17,105,99.05660377358491,106,0,100,6,0,0.0,0.6036342312189336,0.6017940889771135,0.06721789565265289,0.47017999187678844,0.2571876915969098,0.9126676882917781,4.113207547169812,4.288476815447211,0.24435635429775138,0.045499370503184595,0.0008103617191098554,0.0,0.045499370503184595,-0.008328916332552769,0,0,0,6,0,0.8333333333333334,0.20754716981132076,0.09376035617685441,0.00798412180798268,0.9583783497265284,0.3980453326553052,0.0,0.26415094339622636,0.013099951127348495
18,106,100.0,106,0,100,6,0,0.0,0.601576105660141,0.599960944511323,0.0653843085299499,0.4705997807399658,0.2605971471259826,0.8985176798260446,4.113207547169812,4.288476815447211,0.24243191368048755,0.0466454082518351,0.0008063249765091605,0.0,0.0466454082518351,-0.00819990636804424,0,0,0,6,0,0.8333333333333334,0.1792452830188679,0.09194044006739914,0.01732578893717734,0.9659323008002358,0.3940777072131677,0.0,0.26415094339622636,0.013098661773590125
19,106,100.0,106,0,101,5,0,0.0,0.597039318403091,0.5955588343735202,0.06425798552400068,0.4708505402769518,0.26424401662878066,0.9187166337215128,4.113207547169812,4.288476815447211,0.24083790823784268,0.05220021422307948,0.00064826425386294,0.0,0.05220021422307948,-0.01159182655002774,0,0,0,5,0,0.8,0.2169811320754717,0.09110521529535688,0.01838219382412274,0.9655661161164073,0.3931583315946443,0.0,0.26415094339622636,0.01308135471960796
20,105,99.05660377358491,106,1,100,5,0,0.009433962264150943,0.5967524067040634,0.5940901699006228,0.0613067353067519,0.4710781705957401,0.2727405776222054,0.9414286322229283,4.113207547169812,4.288476815447211,0.23878404890657623,0.04617557024149402,0.000786057308307117,0.0,0.04617557024149402,-0.008402880125840359,0,1,0,5,0,0.8333333333333334,0.18867924528301888,0.0890740402323238,0.03538742356591854,0.9712831869194078,0.38571586451486345,0.009433962264150943,0.18867924528301883,0.013084801097835906
21,105,99.05660377358491,106,0,102,4,0,0.0,0.5905370939542689,0.5880311780046692,0.05855462674815771,0.471050157056174,0.2781008131915166,0.9475242292839489,4.113207547169812,4.288476815447211,0.2359181866551563,0.002746394494776606,0.0005044349694460832,0.0,0.002746394494776606,-0.00950707829862954,0,0,0,4,0,1.0,0.20754716981132076,0.08701126320364845,0.025550641054050714,0.961558100772024,0.3808579164192025,0.0,0.18867924528301883,0.013053123857012194
22,105,99.05660377358491,106,0,103,3,0,0.0,0.5925553218539225,0.5901153123487245,0.062080424188162474,0.4710948469652754,0.27523061509913876,0.937672256962202,4.113207547169812,4.288476815447211,0.24032490463315193,0.005651877052938997,0.000569444761007757,0.0,0.005651877052938997,-0.007378270233528421,0,0,0,3,0,1.0,0.2169811320754717,0.09059265687837345,0.018360736816650423,0.9722729624485733,0.389715337177965,0.0,0.16981132075471694,0.013064173254705791
23,105,99.05660377358491,106,0,103,3,0,0.0,0.5944590021054562,0.5921277324668746,0.06334572496453725,0.4712066620941432,0.2732584022690183,0.9266084672731031,4.113207547169812,4.288476815447211,0.2433130245870545,0.002415737331967482,0.0003448463255472226,0.0,0.002415737331967482,-0.006059068685552708,0,0,0,3,0,1.0,0.2169811320754717,0.0924256069414237,0.02111160983540149,0.9723172173970103,0.3949037185527093,0.0,0.18867924528301883,0.01307608923890229
