,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.6178712731222185,0.618047519824323,0.06053862450300181,0.4944380158594584,0.2708245816310489,0.972378214805015,3.0285714285714285,0.355897397454828,0.2322474192354007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.2571428571428571,0.08582370569208628,-0.03153463435200427,0.9583043206541828,0.37986248991502825,0.0,0.18069666182873728,0.003969202380846643
1,0,0.0,105,0,80,25,0,0.0,0.6170305852361355,0.6172340867548655,0.06233651555813765,0.494435699869759,0.27174750788844343,0.9650209734322911,3.0285714285714285,0.355897397454828,0.2361194968608995,0.021857110209718353,0.20673886157341725,0.0,0.021857110209718353,0.000557897450878091,0,0,4,21,0,0.76,0.2857142857142857,0.08830954001864766,-0.027753905625771187,0.9709944934345214,0.38581324296187214,0.0,0.14259796806966618,0.003964994820142696
2,0,0.0,105,0,79,26,0,0.0,0.6157989212057831,0.6158224474341183,0.06201730833153441,0.4944293729325235,0.27187607721269397,0.934784378858312,3.0285714285714285,0.355897397454828,0.23614979412561166,0.020626314394888025,0.20798561446045133,0.0,0.020626314394888025,0.0005816628738555732,0,0,9,17,0,0.7692307692307693,0.2761904761904762,0.08825581757178332,-0.02675920216046035,0.9785268429790384,0.3859068091072861,0.0,0.14259796806966618,0.003958825241288454
3,0,0.0,105,0,81,24,0,0.0,0.6203278846954043,0.6203202762559533,0.06407113766733918,0.4944358746372681,0.2708635077340326,0.8984048227007742,3.0285714285714285,0.355897397454828,0.23837001001383462,0.02389927861180882,0.20234188740398648,0.0,0.02389927861180882,0.0013228153839325008,0,0,5,19,0,0.75,0.2857142857142857,0.08909430494684177,-0.02401677629657778,0.9774903064112479,0.38734816209681394,0.0,0.14259796806966618,0.003981481628435549
4,0,0.0,105,0,81,24,0,0.0,0.6193647850336422,0.6194370519203894,0.06439534472410327,0.4944398385046755,0.273391074704487,0.9342247362441192,3.0285714285714285,0.355897397454828,0.23859646580029525,0.021379577401758776,0.20403679353414741,0.0,0.021379577401758776,-9.935368806890388e-05,0,0,8,16,0,0.75,0.2761904761904762,0.08912691866379532,-0.017280606246252127,0.9773241034579723,0.3863508479571479,0.0,0.14259796806966618,0.003976673183777209
5,104,99.04761904761905,105,1,79,25,0,0.009523809523809525,0.6194309932529619,0.6192826958826629,0.0644264377532566,0.4944444400536997,0.27189873065350684,0.9367292193935448,3.0285714285714285,0.355897397454828,0.2385917719842452,0.021955247299363677,0.2062509458646725,0.0,0.021955247299363677,-0.000612094853473196,1,0,3,22,0,0.7307692307692307,0.26666666666666666,0.08889843905285602,-0.020061624372907424,0.9634311753334163,0.3882301824730963,0.009523809523809525,0.1999274310595065,0.003977012413270416
6,104,99.04761904761905,105,0,81,24,0,0.0,0.6164600068450453,0.6164513550910035,0.06334757948624031,0.4944398726231636,0.2743295920480993,0.9447784698634836,3.0285714285714285,0.355897397454828,0.23774979554171516,0.02068243011190858,0.2080386251555567,0.0,0.02068243011190858,-9.302780128654538e-05,0,0,3,21,0,0.75,0.26666666666666666,0.08839346458223957,-0.02398218261213135,0.9650777299786096,0.3875351964509022,0.0,0.1618287373004354,0.003962149353547629
7,104,99.04761904761905,105,0,83,22,0,0.0,0.6138788011029801,0.613984364871936,0.06227704219571451,0.4944282974848059,0.2771992464709401,0.9479921134989696,3.0285714285714285,0.355897397454828,0.23583871812956514,0.017429037141480207,0.21323322118983212,0.0,0.017429037141480207,-0.003146515030305118,0,0,6,16,0,0.7727272727272727,0.26666666666666666,0.08702338275129637,-0.016428498819204235,0.9760814391068943,0.3839025705134176,0.0,0.1618287373004354,0.00394922272702922
8,103,98.0952380952381,105,1,83,21,0,0.009523809523809525,0.6122480062523294,0.6120829348163795,0.062065317471115614,0.4944122987824516,0.2813420560992369,0.961899415231328,3.0285714285714285,0.355897397454828,0.23634155145921976,0.02077035910629594,0.21548987993596985,0.0,0.02077035910629594,-0.0037969455119527275,0,1,4,17,0,0.7727272727272727,0.2571428571428571,0.08690552588691487,0.001794219782614544,0.9731112559155405,0.38171500876337766,0.009523809523809525,0.10449927431059507,0.003941040283293314
9,103,98.0952380952381,105,0,82,23,0,0.0,0.6137186580335516,0.6135697954584122,0.06322629350029586,0.49439964142527254,0.2808451443214383,0.9949226997781057,3.0285714285714285,0.355897397454828,0.23745808237802235,0.01628993375090292,0.210786739807697,0.0,0.01628993375090292,-0.001987105627315559,0,0,5,18,0,0.782608695652174,0.24761904761904763,0.0874789067971234,0.004846261934848961,0.9812068059389467,0.3835302531944237,0.0,0.10449927431059505,0.003948371018597032
10,104,99.04761904761905,105,1,83,21,0,0.009523809523809525,0.6127888568914329,0.6127582349091653,0.06244548990703653,0.49438461277243373,0.2811650404139827,0.9661376141350303,3.0285714285714285,0.355897397454828,0.23602226846730656,0.01592144701584064,0.21300555963903908,0.0,0.01592144701584064,-0.003026848052659701,0,1,7,14,0,0.8181818181818182,0.24761904761904763,0.08650042166615089,-0.00217199698569653,0.9694417878225619,0.3830265371859366,0.009523809523809525,0.1237300435413643,0.003943695269594275
11,103,98.0952380952381,105,1,83,21,0,0.009523809523809525,0.6134919550530249,0.6131698564308502,0.0644460326395775,0.49437140631021675,0.28146025497455035,0.9740623955998673,3.0285714285714285,0.355897397454828,0.23830739729456596,0.01572702368985827,0.21065456098603635,0.0,0.01572702368985827,-0.0035512186311008054,0,1,6,15,0,0.8181818181818182,0.21904761904761905,0.08807551505542739,-0.012798208896711289,0.9717493350722668,0.38841240263313564,0.009523809523809525,0.08563134978229316,0.003947187259674572
