,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.6152387752648155,0.6152051982256723,0.0481318715135645,0.4921641585805379,0.2822303145256958,0.8787104516558232,5.532110091743119,7.75451472690329,0.2100361859049349,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.1926605504587156,0.07012788265354368,-0.05583148613991279,0.9846657067322373,0.3502743700952356,0.0,0.12424242424242425,0.022158664955157815
1,0,0.0,109,0,96,13,0,0.0,0.6149717783462372,0.6149424439229474,0.04845027604293551,0.4921478583236576,0.289168116939855,0.9176088334445439,5.532110091743119,7.75451472690329,0.21039280298153762,0.029273275827591618,0.024454775316869386,0.0,0.029273275827591618,-0.004223844416301752,0,0,0,13,0,0.7692307692307693,0.21100917431192662,0.07034131867008105,-0.06529922450212229,0.9840233698809338,0.35041322913565753,0.0,0.12424242424242425,0.02215669796765477
2,0,0.0,109,0,97,12,0,0.0,0.6143910291011133,0.6144043900123529,0.05083249572308755,0.492099443296809,0.28151943685687686,0.8691054205917788,5.532110091743119,7.75451472690329,0.21585422308523805,0.033482202705185087,0.023586788174507437,0.0,0.033482202705185087,-0.005184931527271387,0,0,0,12,0,0.75,0.1834862385321101,0.07348211710365692,-0.061837670999043796,0.9837189907980829,0.35889092225516994,0.0,0.12424242424242425,0.022151917046235647
3,0,0.0,109,0,99,10,0,0.0,0.6126319311257197,0.6125790629941477,0.05025830256040824,0.4919415464183947,0.2818097612628835,0.8913539876328752,5.532110091743119,7.75451472690329,0.21478399802781745,0.0357917905365827,0.022134473799445536,0.0,0.0357917905365827,-0.008240852019953282,0,0,0,10,0,0.7,0.1926605504587156,0.07263965732846836,-0.054505424658533086,0.983128435934436,0.35678352989486223,0.0,0.12424242424242424,0.0221369994880137
4,0,0.0,109,0,99,10,0,0.0,0.6180774771071634,0.6180116225131022,0.054279312693270285,0.49213290857902653,0.275777085207892,0.915355088141683,5.532110091743119,7.75451472690329,0.22027891058389604,0.029769280806932485,0.022358362639629085,0.0,0.029769280806932485,-0.0038204453295964556,0,0,0,10,0,0.8,0.2018348623853211,0.07625119438453236,-0.06454434891366584,0.9818155287595111,0.36681400305192796,0.0,0.12424242424242424,0.022171646821384876
5,109,100.0,109,0,96,13,0,0.0,0.6258425657613459,0.6258648006328359,0.06016510128687111,0.4927966122157902,0.2683498211857651,0.8361639349250298,5.532110091743119,7.75451472690329,0.2280699269735944,0.030769368219791607,0.021348312271106614,0.0,0.030769368219791607,-0.0028662876029485985,0,0,0,13,0,0.7692307692307693,0.1926605504587156,0.08166816340149495,-0.05823452302854011,0.9837189907980829,0.3788352955735236,0.0,0.12424242424242424,0.022236205762783706
6,109,100.0,109,0,95,14,0,0.0,0.628655391607161,0.6286955744471512,0.06341259890669615,0.49358445907415105,0.260389997624318,0.7810778733931827,5.532110091743119,7.75451472690329,0.23282604639036308,0.031959619119156686,0.02010760342061536,0.0,0.031959619119156686,-0.0009046795737108006,0,0,0,14,0,0.7142857142857143,0.1926605504587156,0.08513576742592271,-0.0542368417427011,0.9745169234540234,0.3858425525250814,0.0,0.12424242424242422,0.022280816742341298
7,109,100.0,109,0,94,15,0,0.0,0.6269891946500578,0.6271211520593565,0.06084030875669179,0.4942135411791148,0.26308563499629545,0.8807046623885723,5.532110091743119,7.75451472690329,0.22837907850063233,0.027909319916547975,0.019461639457174006,0.0,0.027909319916547975,-0.0006199647386681273,0,0,2,13,0,0.8,0.1743119266055046,0.08211320700078967,-0.06183041366492231,0.982463695245524,0.37892653665813086,0.0,0.12424242424242424,0.022296876889792646
8,109,100.0,109,0,96,13,0,0.0,0.6230441630688266,0.6230371297074315,0.0603008095474503,0.49454048412782065,0.26472463886934094,0.8517773203489707,5.532110091743119,7.75451472690329,0.2285633929591937,0.029405391971832225,0.01955553004435978,0.0,0.029405391971832225,-0.003012286322962704,0,0,0,13,0,0.7692307692307693,0.1926605504587156,0.08206431060586088,-0.06438596089626135,0.9763395633370248,0.3803530018080124,0.0,0.16094276094276094,0.022289828151439473
9,109,100.0,109,0,99,10,0,0.0,0.6246452068928917,0.6246066073484835,0.060958681077932245,0.4949394385372694,0.27007533818018364,0.8742139469928899,5.532110091743119,7.75451472690329,0.22778871000389445,0.0378520704479131,0.020264711202352015,0.0,0.0378520704479131,-0.0031605048148061173,0,0,0,10,0,0.7,0.21100917431192662,0.08154456392439467,-0.0720889931167586,0.9696532206719128,0.3797440336057136,0.0,0.12424242424242422,0.022313301859776966
10,109,100.0,109,0,98,11,0,0.0,0.6282618384475974,0.6283190372443781,0.06065967197298782,0.49553776070668615,0.27264745867658646,0.8749135605241646,5.532110091743119,7.75451472690329,0.22648876524979977,0.03846613969653048,0.021071180395955475,0.0,0.03846613969653048,-0.00162262411892848,0,0,0,11,0,0.7272727272727273,0.2018348623853211,0.08068354060256502,-0.06261646705770717,0.9667588847634249,0.3766971061478309,0.0,0.16094276094276092,0.02235458350792137
11,109,100.0,109,0,98,11,0,0.0,0.6319111456608033,0.6319111174372091,0.061105727225718,0.49631252460540537,0.27257707198563663,0.8743710246072478,5.532110091743119,7.75451472690329,0.226479883997464,0.044125883909431084,0.022076772197526448,0.0,0.044125883909431084,-0.0016364987348920855,0,0,0,11,0,0.6363636363636364,0.1926605504587156,0.08089580253180761,-0.06450181149020925,0.9750285563637271,0.37670168288132266,0.0,0.13804713804713806,0.022402869634299855
12,109,100.0,109,0,97,12,0,0.0,0.6381058041532863,0.6380576789354331,0.06362693967590743,0.49740851813676207,0.27079571234189015,0.8295070351653627,5.532110091743119,7.75451472690329,0.22897585124138775,0.03908960561319696,0.02105580518592232,0.0,0.03908960561319696,-0.0026789973922484466,0,0,0,12,0,0.6666666666666666,0.1926605504587156,0.08279514978349183,-0.05286469988481385,0.9629903344563397,0.3805247393055082,0.0,0.15521885521885523,0.02247633741665975
13,109,100.0,109,0,98,11,0,0.0,0.6420180088693733,0.6419458217321486,0.0654673078960135,0.49866072797294325,0.269036041738328,0.8426790338399378,5.532110091743119,7.75451472690329,0.23107116596209787,0.043197657399082184,0.022193226390008106,0.0,0.043197657399082184,-0.003940975708890505,0,0,0,11,0,0.6363636363636364,0.1926605504587156,0.08385399574189961,-0.06495021693028552,0.9685539218536741,0.3869931224628921,0.0,0.13804713804713803,0.022544449838319384
14,109,100.0,109,0,100,9,0,0.0,0.6477644788522989,0.6479077063521006,0.06581319064569731,0.5001856871896503,0.271089511254692,0.8561142287546044,5.532110091743119,7.75451472690329,0.22928199517613423,0.04258035054042472,0.02171127203861838,0.0,0.04258035054042472,-0.004162406715984008,0,0,0,9,0,0.6666666666666666,0.1926605504587156,0.0824779208393372,-0.061739069447311404,0.9569275537425366,0.38430697426372606,0.0,0.17474747474747473,0.022632308781753423
15,109,100.0,109,0,100,9,0,0.0,0.6466261780616543,0.6467063732374766,0.06666604469428394,0.5015178671766842,0.2698289879242458,0.855579866156055,5.532110091743119,7.75451472690329,0.23129749139628353,0.04031414672560327,0.021976128694681477,0.0,0.04031414672560327,-0.003195138077315412,0,0,0,9,0,0.6666666666666666,0.1834862385321101,0.08385367279711725,-0.058811151910142224,0.9561070112594166,0.3876727963587129,0.0,0.17474747474747476,0.0226782693244419
16,109,100.0,109,0,101,8,0,0.0,0.6520615632449202,0.6522670751751967,0.06590113745465967,0.5030917074309786,0.27104816867400333,0.8464705484192678,5.532110091743119,7.75451472690329,0.2288572647376319,0.03922085973944005,0.019285689440068497,0.0,0.03922085973944005,-0.004461522135782076,0,0,0,8,0,0.625,0.1743119266055046,0.0822013340375554,-0.03766881552282829,0.9613780221129153,0.38026074562519835,0.0,0.13804713804713803,0.02276646808750683
17,109,100.0,109,0,98,11,0,0.0,0.651700054485827,0.6518540868639251,0.06599091055754022,0.5045178838194413,0.27124346376733294,0.8122815660994079,5.532110091743119,7.75451472690329,0.2300677893034262,0.04174222425718472,0.020497008254860342,0.0,0.04174222425718472,-0.004683193001705252,0,0,0,11,0,0.6363636363636364,0.1743119266055046,0.0827606855206506,-0.021256491210838807,0.9565340220411638,0.38074961653032435,0.0,0.08754208754208752,0.02281995707274884
18,109,100.0,109,0,98,11,0,0.0,0.6533174863888629,0.6534539962077166,0.06699532491797311,0.5059327193143742,0.2677463795456587,0.8473860922289512,5.532110091743119,7.75451472690329,0.23036388409006192,0.03983605820093076,0.02125168554508146,0.0,0.03983605820093076,-0.0009975581013685114,0,0,1,10,0,0.7272727272727273,0.1926605504587156,0.08303344617780553,-0.03570664060687036,0.9564930080779083,0.38192998192841693,0.0,0.10134680134680134,0.022882901045672033
