,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.5654338031420555,0.5653965802809775,0.04106818953616594,0.45231726422478213,0.2580544327111836,0.9725852106323617,1.0,8.683469673618674,0.20733277049137055,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.22522522522522523,0.06678102413459024,-0.029654982058630062,0.9853933629164688,0.34126241768244026,0.0,0.13506493506493505,0.022465585249460584
1,0,0.0,111,0,105,6,0,0.0,0.5712383260093451,0.5712972010164589,0.043988993962354964,0.4527271671144787,0.2525790218122606,0.95736197612738,1.0,8.683469673618674,0.21147119182752516,0.013318654141464633,0.0006973469278636696,0.0,0.013318654141464633,-0.008482561505697414,0,0,0,6,0,1.0,0.1981981981981982,0.06913180712540488,-0.02021467697807176,0.9857238436367314,0.348436363921434,0.0,0.10357142857142854,0.022512404760356073
2,0,0.0,111,0,105,6,0,0.0,0.5743402996894492,0.5744021854634043,0.04520741198906913,0.4533171725173141,0.25383691439586714,0.9526733531473307,1.0,8.683469673618674,0.21280400292970736,0.013376798082144127,0.0007020058914710227,0.0,0.013376798082144127,-0.008113786416401628,0,0,0,6,0,1.0,0.1891891891891892,0.06997719311723877,-0.008146834645217456,0.9840733092307467,0.34990216668053253,0.0,0.10357142857142854,0.02255353109887056
3,0,0.0,111,0,105,6,0,0.0,0.5726993179001231,0.5727815169207896,0.044717676723234526,0.4537433607707953,0.25622132165773376,0.9684781275724786,1.0,8.683469673618674,0.21168959556487676,0.01340750882604806,0.0006985136224755455,0.0,0.01340750882604806,-0.008416360712843476,0,0,0,6,0,1.0,0.1981981981981982,0.06936941553943546,-0.001954803685440171,0.9883903054867053,0.3467485236362584,0.0,0.10357142857142854,0.02256383015379571
4,0,0.0,111,0,106,5,0,0.0,0.5776187383759166,0.5776802422462389,0.047242775122576186,0.4544728445589563,0.2502414130058066,0.9324847659195792,1.0,8.683469673618674,0.21572314867099607,0.009042863302798064,0.0006805228995903819,0.0,0.009042863302798064,-0.008025181599617487,0,0,0,5,0,1.0,0.17117117117117117,0.0718937088496441,-0.006435365505580769,0.9765770152759418,0.35454057234479147,0.0,0.11623376623376619,0.02262009950793414
5,111,100.0,111,0,106,5,0,0.0,0.576278150398958,0.5762583684848046,0.04786909712287883,0.4550402094621015,0.24879495137150687,0.9288608285633296,1.0,8.683469673618674,0.21745838210384627,0.00890666622020737,0.0006777977128247291,0.0,0.00890666622020737,-0.007787784917014295,0,0,0,5,0,1.0,0.18018018018018017,0.07302540911050202,-0.013259118462553975,0.9857771687956292,0.3585273901844066,0.0,0.11623376623376619,0.02263803004770103
6,111,100.0,111,0,105,6,0,0.0,0.5848184428266056,0.5848265818589643,0.04979019770385495,0.4561535219738761,0.24598935140157965,0.9157014862017588,1.0,8.683469673618674,0.21922393726267342,0.013346353264199931,0.000680858386791687,0.0,0.013346353264199931,-0.007373208477264044,0,0,0,6,0,1.0,0.17117117117117117,0.0742542449596623,-0.007792315965028954,0.9873517351964141,0.36081560209412744,0.0,0.08019480519480517,0.022729068587005543
7,111,100.0,111,0,106,5,0,0.0,0.5835437666309965,0.5834666768541199,0.05062882947211863,0.4570756907803696,0.24412116542313286,0.9219117783250566,1.0,8.683469673618674,0.22191616559190397,0.008544799545234603,0.0006585491646037113,0.0,0.008544799545234603,-0.004705441775983382,0,0,0,5,0,1.0,0.18018018018018017,0.07590501675028373,-0.004299032874994955,0.9765314123218917,0.364819353750042,0.0,0.1396103896103896,0.022762733330353214
8,111,100.0,111,0,107,4,0,0.0,0.580257890214314,0.5801466251002,0.04992813377411457,0.4576871467884516,0.2473044607378466,0.9435634019390158,1.0,8.683469673618674,0.22159729981022558,0.008502513108855103,0.0006952974823109699,0.0,0.008502513108855103,-0.004895400118502938,0,0,0,4,0,1.0,0.21621621621621623,0.07557806753795601,-0.00594409641116864,0.989886617822648,0.36506518221513606,0.0,0.10357142857142854,0.022772851746784464
9,111,100.0,111,0,107,4,0,0.0,0.5757869391074545,0.5757267257159522,0.04956119670909772,0.45793846670139576,0.24911227251291274,0.9604041327039148,1.0,8.683469673618674,0.22201033724361752,0.015583612435803945,0.000643247101758159,0.0,0.015583612435803945,-0.0037592359664133865,0,0,0,4,0,1.0,0.21621621621621623,0.07587568432617312,0.0027791007525382735,0.9803063994689082,0.3645344506016385,0.0,0.1396103896103896,0.0227614086354623
