,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_neighbor_income_variance,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate,homeless_fraction,theil_index,moran_i,spatial_entropy,neighborhood_heterogeneity,income_mobility_indicator,segregation_index,gentrification_indicator
0,0,0.0,0,0,0,0,0,0.0,0.6106909866543052,0.6104803546869164,0.05104936923155386,0.48838428374953313,0.28792046059700105,1.0161122326021321,3.0775862068965516,7.377973374258727,0.21798354008078236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.22413793103448276,0.07660139788910293,-0.029249697538914547,0.9646425072937798,0.3588094476664397,0.0,0.1724137931034483,0.021069886142823898
1,0,0.0,116,0,111,5,0,0.0,0.6088764820097158,0.608718029559584,0.049848197022290146,0.4882802646466031,0.2926317906249775,1.029434705996228,3.0775862068965516,7.377973374258727,0.21625208366855309,0.00023639715785824862,0.0010920622406507007,0.0,0.00023639715785824862,-0.008631454899525492,0,0,0,5,0,1.0,0.22413793103448276,0.07490120749108244,-0.023136268643717522,0.9684521133203489,0.35410020799954856,0.0,0.1724137931034483,0.021056976368741792
2,0,0.0,116,0,112,4,0,0.0,0.6133861832856913,0.6132080174238357,0.05230729715448065,0.4884489361326971,0.29148256055122923,1.0299286349537586,3.0775862068965516,7.377973374258727,0.22086597593133206,0.00031481892114093937,0.0012164378975414287,0.0,0.00031481892114093937,-0.006073157495610063,0,0,0,4,0,1.0,0.22413793103448276,0.07747682177933536,0.0019120040116734685,0.943423767583339,0.35803179473513325,0.0,0.1896551724137931,0.02108574714378866
3,0,0.0,116,0,112,4,0,0.0,0.6114535190761012,0.6113027280170973,0.05082720622347925,0.4884927056853516,0.29423510871989,1.043118330919131,3.0775862068965516,7.377973374258727,0.21780065223032063,0.0002889098665419197,0.0011572124946900547,0.0,0.0002889098665419197,-0.006292450434873698,0,0,0,4,0,1.0,0.22413793103448276,0.07546703733009276,0.0032179593806491973,0.9616995828900872,0.3535074138516927,0.0,0.1724137931034483,0.02107769847571115
4,0,0.0,116,0,112,4,0,0.0,0.6099196535767675,0.609819340421527,0.05045067301108055,0.4884456907785946,0.29057865041378717,1.0363114933481081,3.0775862068965516,7.377973374258727,0.2172613426341261,0.0003324300383089197,0.0010465457190785596,0.0,0.0003324300383089197,-0.006825321517867321,0,0,0,4,0,1.0,0.21551724137931033,0.07539423131677184,-0.01188997172872281,0.9660243164948842,0.3546538570404746,0.0,0.1724137931034483,0.021068294774563248
5,116,100.0,116,0,112,4,0,0.0,0.6122489607301611,0.6120730335101278,0.05192646504003121,0.4885351661199518,0.28479882967326203,1.0220656017720195,3.0775862068965516,7.377973374258727,0.219151198364385,0.0003077712419473947,0.0012400007562417777,0.0,0.0003077712419473947,-0.009532478189655781,0,0,0,4,0,1.0,0.21551724137931033,0.07637937544638565,-0.021778831138323112,0.9664453770634409,0.3578497645972072,0.0,0.1724137931034483,0.02108324204376115
6,116,100.0,116,0,112,4,0,0.0,0.6133691653291528,0.6131869262146051,0.0530866366434122,0.48868378616017033,0.27991610691102864,1.0334404151803704,3.0775862068965516,7.377973374258727,0.22173762512496675,0.0003148656532281589,0.0009554340074704639,0.0,0.0003148656532281589,-0.008524816517287814,0,0,0,4,0,1.0,0.22413793103448276,0.077510713223962,-0.004691378367149472,0.9650666628373349,0.3592414293694418,0.0,0.13793103448275862,0.021094325640254173
7,116,100.0,116,0,112,4,0,0.0,0.6141782504322786,0.6139685390312649,0.052688160220710815,0.4888675748017952,0.2813897828098649,1.0155867045534177,3.0775862068965516,7.377973374258727,0.2208330738041222,0.00034596072635911665,0.0012023650429324282,0.0,0.00034596072635911665,-0.007606810296066635,0,0,0,4,0,1.0,0.21551724137931033,0.07718088680360842,-0.005104079556841791,0.9636486470653333,0.35787772908646437,0.0,0.1724137931034483,0.0211051510042918
8,116,100.0,116,0,112,4,0,0.0,0.6101600214264431,0.6099217770824228,0.0524082278064437,0.4887989483510917,0.281791982742773,1.0198039406682875,3.0775862068965516,7.377973374258727,0.22236391049880422,0.00022501821776792566,0.0010618319421379886,0.0,0.00022501821776792566,-0.008272209877394687,0,0,0,4,0,1.0,0.21551724137931033,0.07785587687894541,-0.001043927327234067,0.9619659191619061,0.35912887722768655,0.0,0.1724137931034483,0.021082528238632322
9,116,100.0,116,0,113,3,0,0.0,0.6172342076435271,0.6170042450268511,0.0560199849557166,0.4891534192209933,0.2790866075150369,1.021819796373879,3.0775862068965516,7.377973374258727,0.22740600604859407,0.00026624989625319626,0.0012685350955229796,0.0,0.00026624989625319626,-0.006097291723754959,0,0,0,3,0,1.0,0.22413793103448276,0.08139218977583501,0.0074686327694933625,0.9713374791954651,0.3648930848056107,0.0,0.13793103448275862,0.021130975552918166
