run_id,theta,risk_aversion,discount_factor,rationality,vision_radius,pct_satisfied,movement_success_rate,mean_rent
0,0.5562566742300987,0.41231405138969424,0.34459423180669546,5.7408696031197906,9,90.26548672566372,0.02654867256637168,0.618635972771265
1,1.4121442958712578,0.41231405138969424,0.34459423180669546,5.7408696031197906,9,86.32478632478633,0.03418803418803419,0.596250354660609
2,0.5562566742300987,0.5438597612082958,0.34459423180669546,5.7408696031197906,9,91.59663865546219,0.01680672268907563,0.5619535426851544
3,0.5562566742300987,0.41231405138969424,0.5023197019472718,5.7408696031197906,9,89.56521739130434,0.034782608695652174,0.6529501490958618
4,0.5562566742300987,0.41231405138969424,0.34459423180669546,5.979652707464993,9,92.43697478991596,0.01680672268907563,0.5979343463586424
5,0.5562566742300987,0.41231405138969424,0.34459423180669546,5.7408696031197906,8,88.79310344827586,0.02586206896551724,0.6450075272471821
6,0.5562566742300987,0.5438597612082958,0.5023197019472718,5.979652707464993,8,84.68468468468468,0.05405405405405406,0.6197405389641368
7,1.4121442958712578,0.41231405138969424,0.5023197019472718,5.979652707464993,8,88.98305084745763,0.025423728813559324,0.6278661625058308
8,1.4121442958712578,0.5438597612082958,0.34459423180669546,5.979652707464993,8,83.62068965517241,0.04310344827586207,0.6833432991023435
9,1.4121442958712578,0.5438597612082958,0.5023197019472718,5.7408696031197906,8,83.33333333333333,0.06140350877192982,0.5919029813340568
10,1.4121442958712578,0.5438597612082958,0.5023197019472718,5.979652707464993,9,84.61538461538461,0.02564102564102564,0.5979272551524806
11,1.4121442958712578,0.5438597612082958,0.5023197019472718,5.979652707464993,8,94.78260869565217,0.017391304347826087,0.6422849978183832
12,1.5239079874008894,0.3163038618862629,0.9592355722561479,3.976760743185878,2,92.37288135593221,0.01694915254237288,0.6133316608471724
13,0.5852449163794518,0.3163038618862629,0.9592355722561479,3.976760743185878,2,93.04347826086956,0.017391304347826087,0.6300584355569664
14,1.5239079874008894,0.24821870401501656,0.9592355722561479,3.976760743185878,2,83.03571428571429,0.044642857142857144,0.6172036602657646
15,1.5239079874008894,0.3163038618862629,0.05246723908931017,3.976760743185878,2,83.03571428571429,0.0625,0.6069424855490456
16,1.5239079874008894,0.3163038618862629,0.9592355722561479,4.5231060748919845,2,92.37288135593221,0.01694915254237288,0.6251527689634507
