run_id,moving_cost,rejection_cost,vision_income_scale,satisficing_threshold,rent_adjustment_rate,pct_satisfied,movement_success_rate,mean_rent
0,1.887161312624812,0.4288364313542843,11.704171486198902,0.5511471098288894,0.0734193280329927,99.06542056074768,0.0,3.749795759755866
1,1.1456212811172009,0.4288364313542843,11.704171486198902,0.5511471098288894,0.0734193280329927,99.12280701754386,0.0,4.312245024945828
2,1.887161312624812,0.7638988308608532,11.704171486198902,0.5511471098288894,0.0734193280329927,98.1651376146789,0.0,4.284111356409968
3,1.887161312624812,0.4288364313542843,16.391229461878538,0.5511471098288894,0.0734193280329927,97.22222222222224,0.0092592592592592,9.781899177396584
4,1.887161312624812,0.4288364313542843,11.704171486198902,0.939673637971282,0.0734193280329927,99.0909090909091,0.0,3.5113691759909145
5,1.887161312624812,0.4288364313542843,11.704171486198902,0.5511471098288894,0.0499643601439893,96.29629629629628,0.0092592592592592,4.423300004870261
6,1.887161312624812,0.7638988308608532,16.391229461878538,0.939673637971282,0.0499643601439893,100.0,0.0,7.473469022904467
7,1.1456212811172009,0.4288364313542843,16.391229461878538,0.939673637971282,0.0499643601439893,99.08256880733946,0.0,4.014588883222728
8,1.1456212811172009,0.7638988308608532,11.704171486198902,0.939673637971282,0.0499643601439893,98.1132075471698,0.0,39.44028692940656
9,1.1456212811172009,0.7638988308608532,16.391229461878538,0.5511471098288894,0.0499643601439893,99.07407407407408,0.0,2.822562163200595
10,1.1456212811172009,0.7638988308608532,16.391229461878538,0.939673637971282,0.0734193280329927,98.0952380952381,0.0,3.3011604459564423
11,1.1456212811172009,0.7638988308608532,16.391229461878538,0.939673637971282,0.0499643601439893,100.0,0.0,6.2700982934218645
12,0.6237806752324104,1.059884797781706,5.373946037143469,0.1357204960659146,0.012579612868838,99.08256880733946,0.0,4.268140238667292
13,0.9416490253061056,1.059884797781706,5.373946037143469,0.1357204960659146,0.012579612868838,97.196261682243,0.0,4.147569866907327
14,0.6237806752324104,1.0484130717813969,5.373946037143469,0.1357204960659146,0.012579612868838,90.09009009009009,0.018018018018018,4.337327124533237
15,0.6237806752324104,1.059884797781706,1.8835184536874292,0.1357204960659146,0.012579612868838,96.52173913043478,0.017391304347826,5.202382471189085
16,0.6237806752324104,1.059884797781706,5.373946037143469,0.2637850930914283,0.012579612868838,95.32710280373831,0.0186915887850467,6.298716240000838
17,0.6237806752324104,1.059884797781706,5.373946037143469,0.1357204960659146,0.0892345587275922,97.29729729729728,0.009009009009009,3.158688321842083
18,0.6237806752324104,1.0484130717813969,1.8835184536874292,0.2637850930914283,0.0892345587275922,98.1818181818182,0.0,3.459751967183308
19,0.9416490253061056,1.059884797781706,1.8835184536874292,0.2637850930914283,0.0892345587275922,97.27272727272728,0.0181818181818181,7.090835541632507
20,0.9416490253061056,1.0484130717813969,5.373946037143469,0.2637850930914283,0.0892345587275922,96.3963963963964,0.0,2.5705224942272342
21,0.9416490253061056,1.0484130717813969,1.8835184536874292,0.1357204960659146,0.0892345587275922,97.1153846153846,0.0192307692307692,4.820023717533253
22,0.9416490253061056,1.0484130717813969,1.8835184536874292,0.2637850930914283,0.012579612868838,98.01980198019804,0.0,5.207414822363585
23,0.9416490253061056,1.0484130717813969,1.8835184536874292,0.2637850930914283,0.0892345587275922,99.07407407407408,0.0,9.566540702414988
24,0.4642150457948446,0.6203638967126608,19.99044757336378,0.7851055106148124,0.0284611904341727,98.1132075471698,0.0,4.514721014887723
25,0.3718757964670658,0.6203638967126608,19.99044757336378,0.7851055106148124,0.0284611904341727,99.04761904761904,0.0095238095238095,5.310486677397394
26,0.4642150457948446,0.007034683600068,19.99044757336378,0.7851055106148124,0.0284611904341727,100.0,0.0,4.01739099348042
27,0.4642150457948446,0.6203638967126608,9.486998431384563,0.7851055106148124,0.0284611904341727,99.13793103448276,0.0,4.9970530577053625
28,0.4642150457948446,0.6203638967126608,19.99044757336378,0.168708891607821,0.0284611904341727,97.27272727272728,0.009090909090909,6.045154757890818
29,0.4642150457948446,0.6203638967126608,19.99044757336378,0.7851055106148124,0.0554106039050966,98.14814814814817,0.0,5.073803483130718
30,0.4642150457948446,0.007034683600068,9.486998431384563,0.168708891607821,0.0554106039050966,96.29629629629628,0.0185185185185185,6.414528079223516
31,0.3718757964670658,0.6203638967126608,9.486998431384563,0.168708891607821,0.0554106039050966,100.0,0.0,4.196613542461926
32,0.3718757964670658,0.007034683600068,19.99044757336378,0.168708891607821,0.0554106039050966,96.15384615384616,0.0096153846153846,7.086837581089212
